post_id,account_id,type,hashtags
3862155897916791429,76736085060,sidecar,"affordablefashion,cottonlawn,enterpreneurgoals,sangabyaalianay,trendingclothes"
3861497079662669286,76736085060,sidecar,"affordablefashion,cottonlawn,embroideredlawn,sangabyaalianay,summersale"
3861494360705136654,76736085060,sidecar,"affordablefashion,cottonlawn,embroideredlawn,sangabyaalianay,summersale"
3861294139572411475,76736085060,sidecar,"MariaBhitcode,affordablefashion,enterpreneurgoals,sangabyaalianay,trendingclothes"
3861290643242521003,76736085060,sidecar,"affordablefashion,enterpreneurgoals,mariab,sangabyaalianay,trending"
3860725103549614175,76736085060,sidecar,"affordablefashion,chunrisheeshawork,lawn3pc,sangabyaalianay,trending"
3860723746348349216,76736085060,sidecar,"affordablefashion,chunrisheeshawork,lawn3pc,sangabyaalianay,trending"
3860705098447648817,76736085060,sidecar,"Silk3pc,affordablefashion,foryou,sangabyaalianay,silkdresses"
3860702430308241115,76736085060,sidecar,"Silk3pc,affordablefashion,foryou,sangabyaalianay,silkdresses"
3862138545477529025,46134152823,videos,"bownecktunic,casualethniclook,elegantstyle,floralkurti,fusionfashion,kurtilove,meeshostyle,trendingkurti,womankurti"
3862113360208732898,46134152823,sidecar,"bownecktunic,casualethniclook,elegantstyle,floralkurti,fusionfashion,kurtilove,meeshostyle,trendingkurti,womankurti"
3862110675812278877,46134152823,sidecar,"bownecktunic,casualethniclook,elegantstyle,floralkurti,fusionfashion,kurtilove,meeshostyle,trendingkurti,womankurti"
3860619542565262596,46134152823,videos,"bownecktunic,casualethniclook,elegantstyle,floralkurti,fusionfashion,kurtilove,meeshostyle,trendingkurti,womankurti"
3859650770002683333,46134152823,sidecar,"BowNeckTunic,CasualEthnicLook,CulturalFashion,ElegantStyle,EthnicChic,EthnicWear,EtsyEthnicWear,FashionDaily,FestiveWear,FloralKurti,FusionFashion,IndoWesternStyle,KurtiLove,MeeshoStyle,ModernEthnicWear,TrendingKurti,womankurti,womantunic"
3858167354844799704,46134152823,videos,"casualethniclook,elegantstyle,floralkurti,kurtilove,meeshostyle,womankurti"
3857904214823781980,46134152823,images,"BowNeckTunic,CasualEthnicLook,CulturalFashion,ElegantStyle,EthnicChic,EthnicWear,EtsyEthnicWear,FashionDaily,FestiveWear,FloralKurti,FusionFashion,IndoWesternStyle,KurtiLove,MeeshoStyle,ModernEthnicWear,TrendingKurti,womankurti,womantunic"
3857902131294876254,46134152823,sidecar,"BowNeckTunic,CasualEthnicLook,CulturalFashion,ElegantStyle,EthnicChic,EthnicWear,EtsyEthnicWear,FashionDaily,FestiveWear,FloralKurti,FusionFashion,IndoWesternStyle,KurtiLove,MeeshoStyle,ModernEthnicWear,TrendingKurti,womankurti,womantunic"
3853113398359366685,46134152823,videos,"BowNeckTunic,CasualEthnicLook,CulturalFashion,ElegantStyle,EthnicChic,EthnicWear,EtsyEthnicWear,FashionDaily,FestiveWear,FloralKurti,FusionFashion,IndoWesternStyle,KurtiLove,MeeshoStyle,ModernEthnicWear,TrendingKurti,womankurti,womantunic"
3853097760140204188,46134152823,videos,"BowNeckTunic,CasualEthnicLook,CulturalFashion,ElegantStyle,EthnicChic,EthnicWear,EtsyEthnicWear,FashionDaily,FestiveWear,FloralKurti,FusionFashion,IndoWesternStyle,KurtiLove,MeeshoStyle,ModernEthnicWear,TrendingKurti,womankurti,womantunic"
3851405464416693497,46134152823,sidecar,"BowNeckTunic,CasualEthnicLook,CulturalFashion,ElegantStyle,EthnicChic,EthnicWear,EtsyEthnicWear,FashionDaily,FestiveWear,FloralKurti,FusionFashion,IndoWesternStyle,KurtiLove,MeeshoStyle,ModernEthnicWear,TrendingKurti,womankurti,womantunic"
3850553147793763042,46134152823,sidecar,"BowNeckTunic,CasualEthnicLook,CulturalFashion,ElegantStyle,EthnicChic,EthnicWear,EtsyEthnicWear,FashionDaily,FestiveWear,FloralKurti,FusionFashion,IndoWesternStyle,KurtiLove,MeeshoStyle,ModernEthnicWear,TrendingKurti,womankurti,womantunic"
3848225392239391241,73072618260,images,
3826220810953225400,73072618260,videos,"aariworkblouses,bridalaariblouses,kangayamboutiques,patternblouses,simplebridalblouses"
3736427546532761334,73072618260,videos,"aaraah,aaraahdesigners,aariworkblouses,blouselove,bridalblouses,bridalfashions,ethnicelegance,kangayam,muhurtham,patternblouses,trending,wedding,weddingblouse"
3862131472656355817,73072618260,sidecar,"GoldWork,IndianFashion,PurpleElegance,SareeStyle,TraditionalBlouse"
3861348673015847749,73072618260,sidecar,"AariWork,DesignerBlouse,EthnicFashion,HandEmbroidery,PurpleBlouse"
3859915169237380610,73072618260,videos,"AariWork,HandEmbroidery,WIP,aaraahdesigners,bridalfashion"
3859213114856275627,73072618260,sidecar,"EthnicWear,Fashion,OOTD,TraditionalStyle,bridalfashion"
3858389781563120514,73072618260,sidecar,"BlouseDesign,EthnicFashion,SareeLove,TraditionalWear,bridal"
3858312957994846207,73072618260,videos,"aariblouses,aariworkblouses,fashiondesigners,kangayamboutiques,trendingtailors"
3856802607369632169,73072618260,videos,"aariworkblouses,kangayamboutiques,prepleatingandboxfolding"
3853782142677515106,73072618260,images,"Tiruppur,fashiondesigner,floweraariwork,patterndesign,trendingboutiquekangayam"
3849027041090444769,73072618260,images,"aaraa,aariworkblouses,boatneckdesign,bridalaariblouses,kangayamboutiques"
3862101404109849055,65713903526,sidecar,
3862099736337146188,65713903526,sidecar,"EthnicWear,KurtiDesign,KurtiLove,colection,ᴛʀᴇᴀɴᴅɪɴɢ"
3761455755803346917,65713903526,sidecar,
3761454662943893376,65713903526,sidecar,
3761453025856665530,65713903526,sidecar,
3696881866260137288,65713903526,sidecar,
3696878244537519888,65713903526,sidecar,
3662807153008052645,65713903526,sidecar,
3662801837021303537,65713903526,sidecar,
3662794059280087250,65713903526,sidecar,
3648397228936864453,65713903526,sidecar,
