video_id,collected_at,views,likes,comment_count
wHvAQ4pz_z0,2026-03-16 12:56:49,210152,3280,37
9Avv2muK9EE,2026-03-16 12:56:49,228447,3943,74
dioEn4yGQ1U,2026-03-16 12:56:49,69439,1853,21
CXsGcjPYI5M,2026-03-16 12:56:49,40057,766,38
BgGtFP4WUY0,2026-03-16 12:56:49,50331,690,8
V6l75HMF0tk,2026-03-16 12:56:49,267367,4360,52
MfMJ8t8iNqI,2026-03-16 12:56:49,75113,1846,20
VRNdMZcnXgM,2026-03-16 12:56:49,80386,1775,29
Ph2gVwxyp5A,2026-03-16 12:56:49,10641,515,5
KhB4PkqxjEY,2026-03-16 12:56:49,14348,685,6
ffZF_sBDPss,2026-03-16 12:56:49,13439,799,6
QclQkRHeLkI,2026-03-16 12:56:49,18052,876,9
RKArYjuxKUE,2026-03-16 12:56:49,11177,513,6
hFeIygcWGPo,2026-03-16 12:56:49,24391,1115,11
gGzjsfIY5RM,2026-03-16 12:56:49,22147,891,5
cq9ZvMg9brg,2026-03-16 12:56:49,15154,689,7
dXFPWB28Ey8,2026-03-16 12:56:49,16938,741,9
bvj5DqMXDEo,2026-03-16 12:56:49,18170,872,8
rsVLsJtWtdc,2026-03-16 12:56:49,19542,1123,12
BHD2SPFdzxs,2026-03-16 12:56:49,7048,394,3
-KrXz1s4A2s,2026-03-16 12:56:49,8656,366,7
tW9h_235hBM,2026-03-16 12:56:49,13955,514,4
6zc9jTyffOU,2026-03-16 12:56:49,21238,992,13
44p8j2rjHHA,2026-03-16 12:56:49,14055,614,8
ybQ4vDVvJLg,2026-03-16 12:56:49,22868,1062,14
rQ1QmZuELe0,2026-03-16 12:56:49,20502,890,16
pxxTrNcnXRM,2026-03-16 12:56:49,16546,830,13
F4XbktZSZTQ,2026-03-16 12:56:49,19464,901,9
fjjI9SzlgZM,2026-03-16 12:56:49,16556,814,15
zraDmBqtLRg,2026-03-16 12:56:49,24903,1085,7
IWzSFAhZ7OE,2026-03-16 12:56:49,24488,883,11
2bDabRJ0JhM,2026-03-16 12:56:49,5614,267,0
aP_Lz3sLkRs,2026-03-16 12:56:49,26510,846,8
IQuccQEMlSs,2026-03-16 12:56:49,22222,806,10
mC-8XwiA47k,2026-03-16 12:56:49,12254,599,13
OFDz5-IH9b0,2026-03-16 12:56:49,27241,905,10
bWsGSx7sg8k,2026-03-16 12:56:49,42758,1265,11
HgIvZWF-Tec,2026-03-16 12:56:49,16614,698,7
JpjQRAb3L7E,2026-03-16 12:56:49,18187,359,10
Rgh28JZFLGE,2026-03-16 12:56:49,14828,266,9
NkXN0xHBaUA,2026-03-16 12:56:49,7631,459,19
qxmheZmZBto,2026-03-16 12:56:49,9450,353,13
jpq7645ilN0,2026-03-16 12:56:49,11022,256,2
Q8pckO5550A,2026-03-16 12:56:49,24121,1046,45
GN4yj4Tr4jE,2026-03-16 12:56:49,11801,444,6
BBcvMw0MX2o,2026-03-16 12:56:49,9133,322,15
0aQDi-rrNnw,2026-03-16 12:56:49,9000,292,19
QVszrwIkpiY,2026-03-16 12:56:49,16416,527,12
IpvDgXwJGLc,2026-03-16 12:56:49,32694,1321,20
O7kk45dkQoQ,2026-03-16 12:56:49,10703,399,14
b0pZWf3vfRk,2026-03-16 12:56:49,20945,438,13
UPK2rSPcYP4,2026-03-16 12:56:49,47243,1758,47
22FAMVxokSI,2026-03-16 12:56:49,19998,915,27
hJY3moMrMMM,2026-03-16 12:56:49,44200,1713,60
Xa969dPr3PE,2026-03-16 12:56:49,26201,971,27
yGMPQliSBCo,2026-03-16 12:56:49,44716,1516,28
EB2aMbQ2RGM,2026-03-16 12:56:49,45119,1539,48
WZrJyNWbJU8,2026-03-16 12:56:49,88698,2721,64
wmPfB3mUXIQ,2026-03-16 12:56:49,31535,490,5
OHajt102FxU,2026-03-16 12:56:49,45819,1160,19
QL32RqDvu1A,2026-03-16 12:56:49,61011,1423,4
tNhtXo46Vks,2026-03-16 12:56:49,29384,1037,29
xsJDf-bTs10,2026-03-16 12:56:49,99463,1154,29
SfOxr_JNyNA,2026-03-16 12:56:49,141868,2178,10
NcJhgYRaVgo,2026-03-16 12:56:49,21511,207,13
k8HM2o0-P8Q,2026-03-16 12:56:49,26885,645,5
sC7nV09WeNk,2026-03-16 12:56:49,44412,931,6
wrP45ZZG_tc,2026-03-16 12:56:49,44501,1552,74
RFzAMSK71Y8,2026-03-16 12:56:49,6727,115,5
23loFj72bJc,2026-03-16 12:56:49,43342,1083,29
Jl7IsVBf2Lw,2026-03-16 12:56:49,29439,1021,11
cm3CRKRor4g,2026-03-16 12:56:49,9375,114,10
jifCG-jFp7U,2026-03-16 12:56:49,88984,473,45
zlECKWDYoVY,2026-03-16 12:56:49,26607,379,14
SKhNBZF3fPM,2026-03-16 12:56:49,12749,174,11
yRDHfvCsNZs,2026-03-16 12:56:49,35695,1147,22
lNCd-tYnTIU,2026-03-16 12:56:49,15725,426,16
fHuWAe6Rph8,2026-03-16 12:56:49,47471,1041,13
J63XspQiBs0,2026-03-16 12:56:49,36587,323,29
mnF6XtLuU6Y,2026-03-16 12:56:49,45913,1547,7
gjweKqlPUnE,2026-03-16 12:56:49,33885,1673,17
3CgUwbq2sBE,2026-03-16 12:56:49,59097,2405,12
mRpESFJi50M,2026-03-16 12:56:49,37414,1959,20
C6oAPjF5Soc,2026-03-16 12:56:49,13489,546,4
ShPzZbQho7E,2026-03-16 12:56:49,18860,667,8
HzpMnb6E0_Y,2026-03-16 12:56:49,7649298,320506,654
E3UFaAHNEhQ,2026-03-16 12:56:49,13316,478,8
hxQ9hQJVzzg,2026-03-16 12:56:49,21389,614,1
1fktF7FzwMo,2026-03-16 12:56:49,16605,816,7
jevMh8Q38mk,2026-03-16 12:56:49,51414,2172,13
tafG7gxB0h0,2026-03-16 12:56:49,48312,1730,17
5ezmezNJfF8,2026-03-16 12:56:49,20740,957,4
LWUgHxAeRvs,2026-03-16 12:56:49,18773,887,5
tnUW3_zqEAc,2026-03-16 12:56:49,14491,584,6
kfLxZPhGbRg,2026-03-16 12:56:49,21969,928,2
Rcsc4-PRSmo,2026-03-16 12:56:49,11977,487,12
W62E5fwGWic,2026-03-16 12:56:49,9973,296,6
Gx97EEc76To,2026-03-16 12:56:49,9997,278,5
1tcS5EtPo5g,2026-03-16 12:56:49,2140,307,18
H743qRnupKA,2026-03-16 12:56:49,8506,701,59
UfzuK3tE_B0,2026-03-16 12:56:49,1724,190,47
UucTkFVYHX4,2026-03-16 12:56:49,1376,50,2
T2Mr4PmhjYw,2026-03-16 12:56:49,1717,102,4
Up4RngFxtpw,2026-03-16 12:56:49,18715,1494,60
ZzdEkZTcU7M,2026-03-16 12:56:49,2689,277,25
aNyEfMefr1w,2026-03-16 12:56:49,4209,417,35
6RHe-hAVqRo,2026-03-16 12:56:49,3540,400,37
B6iNtHG3QOA,2026-03-16 12:56:49,12070,989,81
Lc_4BPvRf4k,2026-03-16 12:56:49,6751,663,74
de8Ihi8b0Vs,2026-03-16 12:56:49,6872,543,112
QZmD3QES4u4,2026-03-16 12:56:49,1714,142,14
Z5u0GsUCPt4,2026-03-16 12:56:49,2361,104,6
bq3FvYeYPko,2026-03-16 12:56:49,5668,534,150
Q45eAhfLlr4,2026-03-16 12:56:49,1833,139,39
LS9tJSrRVlY,2026-03-16 12:56:49,1747,211,30
Xz1_xju45E4,2026-03-16 12:56:49,5536,525,65
NtMfijqyAy0,2026-03-16 12:56:49,1141,49,0
LfTKP57koKc,2026-03-16 12:56:49,5872,512,47
oJYa6bJ0268,2026-03-16 12:56:49,9388,796,151
AGPZT-hYsVg,2026-03-16 12:56:49,3681,346,69
d9m9zUTgVUM,2026-03-16 12:56:49,14279,1054,136
CfAr7-vPvXM,2026-03-16 12:56:49,2153,29,1
DGcrp_Yh84A,2026-03-16 12:56:49,1748,198,34
0Mfm_P_CVRE,2026-03-16 12:56:49,2783,268,43
KWlBBToSkq4,2026-03-16 12:56:49,4418,361,74
ZD2VqeDiMY0,2026-03-16 12:56:49,1755,174,34
